,0
frequency_cano,2441
loctm_str,2138
seconds,2117
total_seconds,2013
std_amount,1952
minutes,1950
loctm,1809
bacno_ecfg_mean,1675
total_seconds_diff,1576
comsum_max,1573
median_time,1482
total_seconds_diff_cano,1468
transaction_count_cano,1429
conam,1401
mean_time,1393
mean_amount_cano,1325
comsum_ave,1324
cano_ecfg_mean,1287
median_amount_cano,1277
median_time_cano,1262
mean_time_cano,1247
ecfg_scity,1227
median_amount,1222
frequency,1218
mchno,1121
date_day,1115
comsum_total,1112
day_trad_num,1090
comsum_feq30,1087
mcc,1063
amtby_mean_amount_cano,955
acqic,939
amtby_mean_amount,938
locdt,937
day_comsum_total,924
city_com_num,918
cano_flg_3dsmk,864
bacno_stocn,836
amtby_median_amount_cano,822
comsum_feq3060,801
2_week,799
comsum_min,758
scity,757
comsum_feq6090,753
comsum_feq3090,728
comsum_feq60,727
amtby_median_amount,726
cano_stocn,685
conam_duplicated_count,644
conam_stocn,644
stscd,611
bacno_scity,550
acqic_duplicated_count,549
ecfg_stocn,535
cano_mchno,530
bacno_flg_3dsmk,529
cano_scity,492
week,477
comsum_feq60120,470
transaction_count,425
bacno_mchno,417
csmcu,388
ovrlt_stocn,359
comsum_feq90120,317
stocn,295
country_com_num,283
etymd,264
hours,151
contp,79
flg_3dsmk,79
ecfg,78
morning,64
afternoon,63
flbmk,38
insfg,24
hcefg,22
ovrlt,8
iterm,6
time,2
night,1
acc_trad_total,0
midnight,0
loctm_int,0
ovrlt_scity,0
mean_amount,0
month,0
is_taiwan,0
acc_trad_ave,0
trad_hour,0
